ComputerName,UserSAM,ConfName
43Q1XP3,Bear,ssiers_moriartymachinery_com_ras.conf
FIRASLT-01,Firas,firas_htmtoledo_com_ras.conf
HTMLAPTOP2,dcrawford,dcrawford_mms_co_ras.conf
MMS-HP-95T1Q,ablasiman,ablasiman_mms_co_ras.conf
MMS-L-28QHRG3,vkasper,vkasper_mms_co_ras.conf
MMS-L-2J2LTG3,jcuthbert,jcuthbert_mms_co_ras.conf
MMS-L-DG19P93,jlutman,jlutman_mms_co_ras.conf
MMS-L-FNLDRG3,sharteis,sharteis_mms_co_ras.conf
MMS-SP-4300C,adam,adam_htmtoledo_com_ras.conf
MMS-T-1V02XP3,pmoriarty,pmoriarty_mms_co_ras.conf
MMS-T-2RX1XP3,jheidebrink,jheidebrink_mms_co_ras.conf
MMS-T-5SFX673,sharteis,sharteis_mms_co_ras.conf
MMS-T-93GBFX2,jheidebrink,jheidebrink_mms_co_ras.conf
MMS-T-DG35MH3,jcuthbert,jcuthbert_mms_co_ras.conf
MMS-T-H5D4N34,jlutman,jlutman_mms_co_ras.conf
MMS-T-J59RQ53,pmoriarty,pmoriarty_mms_co_ras.conf
MORLT-01,Pat,pmoriarty_mms_co_ras.conf
PATSALESDT,sales2,pmoriarty_mms_co_ras.conf
SHOP3,ablasiman,ablasiman_mms_co_ras.conf
